dataset,model,metric,mean_delta,t_stat,p_value,n_seeds
chestmnist,hog4x4_28,test_macro_auroc,-0.017026205569518876,-6.244526247504691,0.024698763898597802,3
chestmnist,pca128_gray_28,test_macro_auroc,-0.02693701356682454,-2.7595083979524273,0.1100622345703433,3
octmnist,hog4x4_28,test_macro_auroc,0.1667044444444444,44.891873432311556,0.0004958398598743188,3
octmnist,pca128_gray_28,test_macro_auroc,0.0021213333333333084,0.8243925758299288,0.4963866732840164,3
organamnist,hog4x4_28,test_macro_auroc,0.027362560862758272,11.28100393092495,0.0077664413314336815,3
organamnist,pca128_gray_28,test_macro_auroc,-0.005507682373313154,-3.2204189100606793,0.08439481104510296,3
