dataset,model,primary_metric,n_seeds,test_n_mean,primary_mean,primary_sd,primary_ci95_low_seed_level,primary_ci95_high_seed_level,ece_10bin,brier,macro_f1,accuracy,coverage_at_0p70,selective_accuracy_at_0p70
chestmnist,pixel_gray_28,macro_auroc,3,3000.0,0.6346468804340892,0.005779819586074261,0.6202878537991916,0.6490059070689869,0.008896146886449767,0.04712565490981766,0.0053066674428559335,,,
chestmnist,hog4x4_28,macro_auroc,3,3000.0,0.6176206748645703,0.01019524205893695,0.592292245474452,0.6429491042546885,0.023144645513882,0.04921935361753437,0.02885656712350077,,,
chestmnist,pca128_gray_28,macro_auroc,3,3000.0,0.6077098668672647,0.020019590977213585,0.5579744320875754,0.657445301646954,0.010173182604582333,0.047404216169402935,0.007081181917411135,,,
octmnist,hog4x4_28,macro_auroc,3,1000.0,0.7830457777777777,0.007970443660684634,0.7632445000542534,0.8028470555013021,0.12998433770483211,0.629449473050283,0.5007760094191291,0.5203333333333333,0.3993333333333333,0.6580787341863762
octmnist,pca128_gray_28,macro_auroc,3,1000.0,0.6184626666666667,0.0027309879368301016,0.6116779689887306,0.6252473643446028,0.10032474626088472,0.7399564192031086,0.325706496357377,0.3403333333333333,0.04800000000000001,0.6590096618357488
octmnist,pixel_gray_28,macro_auroc,3,1000.0,0.6163413333333333,0.004398746690188567,0.6054133588621636,0.627269307804503,0.14340885328602646,0.7617052284150331,0.31053762318711975,0.3333333333333333,0.08600000000000001,0.5760192966075319
organamnist,hog4x4_28,macro_auroc,3,3000.0,0.9367198007384444,7.21858762262812e-05,0.9365404666080341,0.9368991348688547,0.06654993527722224,0.4528450085994103,0.6768004301285521,0.6702222222222223,0.5827777777777777,0.8514463026061986
organamnist,pixel_gray_28,macro_auroc,3,3000.0,0.9093572398756861,0.004162053322838544,0.8990172917806807,0.9196971879706914,0.03472511224479027,0.5035200952672224,0.6258673659436589,0.6161111111111112,0.4275555555555555,0.8927853109072167
organamnist,pca128_gray_28,macro_auroc,3,3000.0,0.9038495575023728,0.0012223972303497985,0.9008127093572666,0.906886405647479,0.09688110823038708,0.545952382712439,0.5990458714472652,0.5902222222222222,0.48311111111111105,0.8303806911495247
